Name,Location,Feedstock,RINs,Capacity (MMgy),link
Absolute Energy LLC,IA,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/201
Ace Ethanol LLC,WI,Corn,D3 D6,58,https://ethanolproducer.com/plant/ethanol/263
Adkins Energy LLC,IL,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/262
Alco Energy Canada,ON,Corn,D6,104,https://ethanolproducer.com/plant/ethanol/269
Al-Corn Clean Fuels,MN,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/203
Alto ICP Mill & Distillery,IL,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/335
Alto Ingredients - Columbia LLC,OR,Corn,D6,40,https://ethanolproducer.com/plant/ethanol/16
Alto Ingredients - ICP Mill & Distillery,IL,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/382
Alto Ingredients - Magic Valley LLC,ID,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/14
Alto Ingredients - Pekin LLC (Dry Mill),IL,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/155
Alto Ingredients - Pekin LLC (Wet Mill),IL,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/87
Amber Wave,KS,Other Grains,D6,50,https://ethanolproducer.com/plant/ethanol/286
Archer Daniels Midland Co. - Cedar Rapids (Dry Mill),IA,Corn,D6,300,https://ethanolproducer.com/plant/ethanol/129
Archer Daniels Midland Co. - Cedar Rapids (Wet Mill),IA,Corn,D6,240,https://ethanolproducer.com/plant/ethanol/78
Archer Daniels Midland Co. - Clinton,IA,Corn,D6,237,https://ethanolproducer.com/plant/ethanol/130
Archer Daniels Midland Co. - Columbus Dry Mill,NE,Corn,D6,313,https://ethanolproducer.com/plant/ethanol/131
Archer Daniels Midland Co.-Columbus Wet Mill,NE,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/165
Archer Daniels Midland Co. - Decatur,IL,Corn,D6,375,https://ethanolproducer.com/plant/ethanol/59
Archer Daniels Midland Co.-Marshall,MN,Corn,D6,48,https://ethanolproducer.com/plant/ethanol/132
Arkalon Energy LLC,KS,Corn/Milo,D6,118,https://ethanolproducer.com/plant/ethanol/116
Attis Biofuels LLC,NY,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/69
Aztalan Bio,WI,Corn,D6,,https://ethanolproducer.com/plant/ethanol/1499
Badger State Ethanol LLC,WI,Corn,D6,94,https://ethanolproducer.com/plant/ethanol/89
"BI Biorefinery, LLC",ND,Waste Stream,D5,17,https://ethanolproducer.com/plant/ethanol/339
Big River Resources Boyceville LLC,WI,Corn,D6,70,https://ethanolproducer.com/plant/ethanol/166
"Big River Resources Galva, LLC",IL,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/133
"Big River Resources West Burlington, LLC",IA,Corn,D6,112,https://ethanolproducer.com/plant/ethanol/90
"Big River United Energy, LLC",IA,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/184
BioUrja Renewables LLC,IL,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/128
Blue Flint Ethanol LLC,ND,Corn,D6,72,https://ethanolproducer.com/plant/ethanol/221
Bonanza BioEnergy LLC,KS,Corn/Milo,D6,65,https://ethanolproducer.com/plant/ethanol/98
Bridgeport Ethanol LLC,NE,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/99
Bushmills Ethanol Inc.,MN,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/259
"Carbon Green BioEnergy, LLC",MI,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/123
Cardinal Colwich LLC,KS,Corn,D6,65,https://ethanolproducer.com/plant/ethanol/119
Cardinal Ethanol LLC,IN,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/212
Cargill Inc. - Blair,NE,Corn,D6,210,https://ethanolproducer.com/plant/ethanol/124
Cargill Inc. - Eddyville,IA,Corn,D6,71,https://ethanolproducer.com/plant/ethanol/125
Cargill Inc. - Fort Dodge,IA,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/159
Chief Ethanol Fuels Inc. - Hastings,NE,Corn,D6,70,https://ethanolproducer.com/plant/ethanol/257
Chief Ethanol Fuels Inc. - Lexington,NE,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/278
Chippewa Valley Ethanol Co.,MN,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/256
CHS Annawan,IL,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/279
CHS Rochelle,IL,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/66
CIE - Marion Distillery,IN,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/301
CIE - Norfolk Distillery,NE,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/250
Commonwealth Agri-Energy LLC,KY,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/93
Corn LP,IA,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/277
Crysalis Biosciences Inc.,IL,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/1504
Dakota Ethanol LLC,SD,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/254
Dakota Spirit Ag Energy LLC,ND,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/151
DENCO II LLC,MN,Corn,D6,30,https://ethanolproducer.com/plant/ethanol/216
Diamond Ethanol LLC,TX,Corn/Milo,D6,40,https://ethanolproducer.com/plant/ethanol/215
Didion Ethanol LLC,WI,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/48
East Kansas Agri-Energy LLC,KS,Corn,D6,48,https://ethanolproducer.com/plant/ethanol/251
E Energy Adams LLC,NE,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/276
Elite Octane LLC,IA,Corn,D6,155,https://ethanolproducer.com/plant/ethanol/158
Fox River Valley Ethanol LLC,WI,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/226
Front Range Energy LLC,CO,Corn,D6,46,https://ethanolproducer.com/plant/ethanol/319
Gevo Agri-Energy LLC,MN,Corn,D6,20,https://ethanolproducer.com/plant/ethanol/261
Glacial Lakes Energy LLC - Aberdeen,SD,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/74
Glacial Lakes Energy LLC - Huron,SD,Corn,D6,40,https://ethanolproducer.com/plant/ethanol/97
Glacial Lakes Energy LLC - Mina,SD,Corn,D6,162,https://ethanolproducer.com/plant/ethanol/126
"Glacial Lakes Energy, LLC - Watertown",SD,Corn,D6,148,https://ethanolproducer.com/plant/ethanol/137
Golden Grain Energy LLC,IA,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/68
Golden Triangle Energy LLC,MO,Corn,D6,20,https://ethanolproducer.com/plant/ethanol/384
Grain Processing Corp. - Muscatine wet mill,IA,Corn,D6,83,https://ethanolproducer.com/plant/ethanol/182
Grain Processing Corp.-Washington (Wet Mill),IN,Corn,D6,37,https://ethanolproducer.com/plant/ethanol/174
Granite Falls Energy LLC,MN,Corn,D6,63,https://ethanolproducer.com/plant/ethanol/302
GreenAmerica Biofuels Ord LLC,NE,Corn,D6,65,https://ethanolproducer.com/plant/ethanol/186
Greenfield Global - Chatham,ON,Corn,D6,56,https://ethanolproducer.com/plant/ethanol/53
"Greenfield Global Winnebago, LLC",MN,Corn,D6,48,https://ethanolproducer.com/plant/ethanol/255
Green Plains - Central City,NE,Corn,D6,116,https://ethanolproducer.com/plant/ethanol/185
Green Plains - Fairmont,MN,Corn,D6,119,https://ethanolproducer.com/plant/ethanol/122
Green Plains - Madison,IL,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/121
Green Plains - Mt. Vernon,IN,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/47
Green Plains - Otter Tail,MN,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/147
Green Plains - Shenandoah,IA,Corn,D6,82,https://ethanolproducer.com/plant/ethanol/113
Green Plains - Superior,IA,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/42
Green Plains - Wood River,NE,Corn,D6,121,https://ethanolproducer.com/plant/ethanol/106
Green Plains - York,NE,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/120
Guardian Energy Janesville,MN,Corn,D6,160,https://ethanolproducer.com/plant/ethanol/328
Guardian Hankinson LLC,ND,Corn,D6,150,https://ethanolproducer.com/plant/ethanol/39
Guardian Lima LLC,OH,Corn,D6,75,https://ethanolproducer.com/plant/ethanol/180
Heartland Corn Products,MN,Corn,D6,150,https://ethanolproducer.com/plant/ethanol/246
Hereford Ethanol Partners,TX,Corn,D6,120,https://ethanolproducer.com/plant/ethanol/86
Heron Lake BioEnergy LLC,MN,Corn,D6,67.5,https://ethanolproducer.com/plant/ethanol/245
"Highwater Ethanol, LLC",MN,Corn,D6,70.2,https://ethanolproducer.com/plant/ethanol/96
Homeland Energy Solutions LLC,IA,Corn,D6,200,https://ethanolproducer.com/plant/ethanol/117
Husker Ag LLC,NE,Corn,D6,110,https://ethanolproducer.com/plant/ethanol/322
ICM Biofuels LLC,MO,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/194
"ICM, Inc. Pilot Integrated Cellulosic Biorefinery",MO,20,D3,0.32,https://ethanolproducer.com/plant/ethanol/369
Ingredion,IA,Corn,D6,45,https://ethanolproducer.com/plant/ethanol/236
Iroquois Bio-Energy Company LLC,IN,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/265
KAAPA Ethanol LLC,NE,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/306
KAAPA Ethanol Ravenna LLC,NE,Corn,D6,130,https://ethanolproducer.com/plant/ethanol/207
KAAPA Partners Aurora LLC,NE,Corn,D6,110,https://ethanolproducer.com/plant/ethanol/238
Kansas Ethanol LLC,KS,Corn/Milo,D6,80,https://ethanolproducer.com/plant/ethanol/109
LanzaTech Freedom Pines Fuels LLC,GA,Other,D3,9,https://ethanolproducer.com/plant/ethanol/378
"Lincolnland Agri-Energy, LLC",IL,Corn,D6,68,https://ethanolproducer.com/plant/ethanol/242
"Lincolnway Energy, LLC",IA,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/141
Little Sioux Corn Processors LLC,IA,Corn,D6,165,https://ethanolproducer.com/plant/ethanol/241
Louis Dreyfus Company - Grand Junction,IA,Corn,D6,,https://ethanolproducer.com/plant/ethanol/1501
Marquis Energy LLC,IL,Corn,D6,400,https://ethanolproducer.com/plant/ethanol/179
"Marysville Ethanol, LLC",MI,Corn,D6,50,https://ethanolproducer.com/plant/ethanol/101
MGP Ingredients,KS,Corn,D6,35,https://ethanolproducer.com/plant/ethanol/240
"Mid America Agri Products Wheatland, LLC",NE,,,,https://ethanolproducer.com/plant/ethanol/1464
Mid America Bio Energy,NE,Corn,D3 D6,48,https://ethanolproducer.com/plant/ethanol/27
Mid-Missouri Energy LLC,MO,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/290
"Midwest Renewable Energy, LLC",NE,Corn,D6,28,https://ethanolproducer.com/plant/ethanol/291
"Montana Advanced Biofuels, LLC",MT,Other Grains,D6,70,https://ethanolproducer.com/plant/ethanol/189
"Nebraska Corn Processing, LLC",NE,Corn,D6,54,https://ethanolproducer.com/plant/ethanol/187
Nesika Energy LLC,KS,Corn,D6,10,https://ethanolproducer.com/plant/ethanol/380
Net Zero North,ND,Corn,D3 D6,67,https://ethanolproducer.com/plant/ethanol/231
"NuGen Energy, LLC",SD,Corn,D6,150,https://ethanolproducer.com/plant/ethanol/40
"One Earth Energy, LLC",IL,Corn,D6,150,https://ethanolproducer.com/plant/ethanol/326
Parallel Products of California,CA,Waste Stream,D5 D6,2,https://ethanolproducer.com/plant/ethanol/17
Parallel Products of Kentucky,KY,Waste Stream,D6,5,https://ethanolproducer.com/plant/ethanol/18
Pelican Renewables LLC,CA,Corn/Milo,D6,60,https://ethanolproducer.com/plant/ethanol/15
Pennsylvania Grain Processing LLC,PA,Corn,D6,120,https://ethanolproducer.com/plant/ethanol/196
Pinal Energy LLC,AZ,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/252
Pine Lake Corn Processors LLC,IA,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/107
Plymouth Energy LLC,IA,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/383
POET Bioprocessing - Alexandria,IN,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/19
POET Bioprocessing - Arthur,IA,Corn,D6,132,https://ethanolproducer.com/plant/ethanol/103
POET Bioprocessing - Ashton,IA,Corn,D6,68,https://ethanolproducer.com/plant/ethanol/287
POET Bioprocessing - Big Stone,SD,Corn,D6,105,https://ethanolproducer.com/plant/ethanol/267
POET Bioprocessing - Bingham Lake,MN,Corn,D6,35,https://ethanolproducer.com/plant/ethanol/248
POET Bioprocessing - Caro,MI,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/323
POET Bioprocessing - Chancellor,SD,Corn,D6,125,https://ethanolproducer.com/plant/ethanol/311
POET Bioprocessing - Cloverdale,IN,Corn,D6,95,https://ethanolproducer.com/plant/ethanol/57
POET Bioprocessing - Coon Rapids,IA,Corn,D6,65,https://ethanolproducer.com/plant/ethanol/268
POET Bioprocessing - Corning,IA,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/283
POET Bioprocessing - Emmetsburg,IA,Corn,D6,68,https://ethanolproducer.com/plant/ethanol/316
POET Bioprocessing - Fairbank,IA,Corn,D6,132,https://ethanolproducer.com/plant/ethanol/70
POET Bioprocessing - Fairmont,NE,Corn,D6,131,https://ethanolproducer.com/plant/ethanol/12
POET Bioprocessing - Fostoria,OH,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/20
POET Bioprocessing - Glenville,MN,Corn,D6,48,https://ethanolproducer.com/plant/ethanol/310
POET Bioprocessing - Gowrie,IA,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/220
POET Bioprocessing - Groton,SD,Corn,D6,68,https://ethanolproducer.com/plant/ethanol/243
POET Bioprocessing - Hanlontown,IA,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/244
POET Bioprocessing - Hudson,SD,Corn,D6,80,https://ethanolproducer.com/plant/ethanol/309
POET Bioprocessing - Iowa Falls,IA,Corn,D6,112,https://ethanolproducer.com/plant/ethanol/72
POET Bioprocessing - Jewell,IA,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/285
POET Bioprocessing - Laddonia,MO,Corn,D6,63,https://ethanolproducer.com/plant/ethanol/284
POET Bioprocessing - Lake Crystal,MN,Corn,D6,68,https://ethanolproducer.com/plant/ethanol/282
POET Bioprocessing - Leipsic,OH,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/118
POET Bioprocessing - Macon,MO,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/308
POET Bioprocessing - Marion,OH,Corn,D6,154,https://ethanolproducer.com/plant/ethanol/22
POET Bioprocessing - Menlo,IA,Corn,D6,132,https://ethanolproducer.com/plant/ethanol/71
POET Bioprocessing - Mitchell,SD,Corn,D6,86,https://ethanolproducer.com/plant/ethanol/21
POET Bioprocessing - North Manchester,IN,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/23
POET Bioprocessing - Obion,TN,Corn,D6,120,https://ethanolproducer.com/plant/ethanol/112
POET Bioprocessing - Portland,IN,Corn,D6,90,https://ethanolproducer.com/plant/ethanol/24
POET Bioprocessing - Preston,MN,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/307
POET Bioprocessing - Shelbyville,IN,Corn,D6,,https://ethanolproducer.com/plant/ethanol/376
POET Bioprocessing - Shell Rock,IA,Corn,D6,131,https://ethanolproducer.com/plant/ethanol/73
POET Research Center,SD,Corn,D6,11,https://ethanolproducer.com/plant/ethanol/111
"Pratt Energy, LLC",KS,Corn/Milo,D6,58,https://ethanolproducer.com/plant/ethanol/274
